Task,Success,Time,Plan,
Watch TV,Yes,0.80,"[walk(livingroom336),walk(tv427),switchon(tv427),walk(sofa369),sit(sofa369)]",
Read Book,Yes,1.05,"[walk(bedroom74),walk(book192),grab(book192),walk(livingroom336),walk(sofa369),sit(sofa369),use(book192)]",
Relax on Sofa,Yes,0.85,"[walk(livingroom336),walk(sofa369),sit(sofa369)]",
Listen to Music,Yes,0.78,"[walk(bedroom74),walk(radio178),switchon(radio178)]",
Tabletop game,Yes,12.51,"[walk(livingroom336),walk(tabletopgame3200),grab(tabletopgame3200),use(tabletopgame3200),walk(kitchen207),walk(kitchentable231),put(tabletopgame3200,kitchentable231)]",
Tax filing,No,,,
Sit quietly,Yes,0.54,"[walk(livingroom336),walk(sofa369),sit(sofa369)]",
Polish tea pot,No,,,
Work,Yes,0.86,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Use laptop,Yes,0.87,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Check email,Yes,0.86,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Pee,Yes,0.56,"[walk(bathroom11),walk(toilet46),use(toilet46)]",
Change curtains,Yes,0.89,"[walk(bedroom74),walk(curtains187),grab(curtains187),walk(closet114),put(curtains187,closet114),walk(curtains185),grab(curtains185),walk(window92),put(curtains185,window92)]",
Prepare letter for mailing,No,,,
Go to bathroom,Yes,0.58,"[walk(bathroom11),walk(toilet46),sit(toilet46),use(toilet46)]",
Have snack,Yes,2.12,"[walk(bananas316),grab(bananas316),eat(bananas316)]",
Pick up spare change on dresser,Yes,0.54,"[walk(bedroom74),walk(change3202),grab(change3202)]",
Put shoes and coats,No,,,
Get in way of guests trying to leave,No,,,
Take dishes out of dishwasher,No,,,
Eat family meals,Yes,4.56,"[walk(stove312),switchon(stove312),walk(salmon328),grab(salmon328),walk(fryingpan270),put(salmon328,fryingpan270),walk(bellpepper321),grab(bellpepper321),walk(fryingpan270),put(bellpepper321,fryingpan270),walk(salmon328),eat(salmon328)]",
Hair,Yes,0.58,"[walk(bathroom11),walk(comb3206),grab(comb3206),walk(hairproduct59),grab(hairproduct59),use(comb3206),use(hairproduct59)]",
Cutting,Yes,0.96,"[grab(whippedcream319),walk(cuttingboard3207),put(whippedcream319,cuttingboard3207),walk(cutleryknife272),grab(cutleryknife272),use(cutleryknife272)]",
Use bathroom,Yes,0.58,"[walk(bathroom11),walk(toilet46),sit(toilet46),use(toilet46)]",
Print out document,Yes,0.88,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Put out flowers,Yes,13.39,"[walk(vase3209),grab(vase3209),walk(kitchentable231),put(vase3209,kitchentable231),walk(flowers3208),grab(flowers3208),walk(vase3209),put(flowers3208,vase3209)]",
Put down bags,Yes,0.58,"[put(bag3210,kitchentable231),put(bag3211,kitchentable231)]",
Do dishes,Yes,5.31,"[walk(faucet249),switchon(faucet249),walk(bedroom74),walk(wineglass199),grab(wineglass199),walk(plate195),grab(plate195),walk(kitchen207),walk(sink247),put(wineglass199,sink247),put(plate195,sink247),walk(bedroom74),walk(kitchen207),walk(bedroom74),walk(sink247),use(sink247)]",
Open door,No,,,o
Type up document,Yes,0.55,"[switchon(computer176),sit(chair109)]",
Try yourself off,Yes,0.59,"[walk(bathroom11),walk(towel54),grab(towel54),use(towel54)]",
Curled hair,Yes,0.69,"[walk(bathroom11),walk(curlingiron3212),switchon(curlingiron3212),grab(curlingiron3212),walk(hairproduct59),grab(hairproduct59),use(curlingiron3212),use(hairproduct59)]",
Place centerpiece,Yes,3.79,"[walk(centerpiece3213),grab(centerpiece3213),walk(kitchentable231),put(centerpiece3213,kitchentable231)]",
Watch youtube,Yes,0.87,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Unload dishwasher,No,,,
Answer door,No,,,
Do facial,Yes,0.59,"[walk(bathroom11),walk(facecream61),grab(facecream61),use(facecream61)]",
Practice violin,Yes,0.57,"[walk(bedroom74),walk(violin3214),grab(violin3214),use(violin3214)]",
Wipe room down with lysol,Yes,0.71,"[walk(bathroom11),walk(lysol3215),grab(lysol3215),walk(towel54),grab(towel54),walk(bathroomcounter50),use(lysol3215),use(towel54)]",
Do homework,Yes,0.85,"[walk(bedroom74),walk(computer176),switchon(computer176),walk(chair109),grab(chair109),walk(cpuscreen177),put(chair109,floor81),sit(chair109)]",
Playtime lunch with dolls,No,,,
Get ready to leave,No,,,
Fluff pillows,No,,,
Eat dinner,Yes,2.77,"[grab(salmon328),grab(bellpepper321),walk(stove312),switchon(stove312),walk(fryingpan270),put(salmon328,fryingpan270),put(bellpepper321,fryingpan270),eat(salmon328)]",
Replace toothpaste,Yes,1.31,"[walk(bathroom11),walk(toothpaste63),grab(toothpaste63),walk(bedroom74),walk(garbagecan105),put(toothpaste63,garbagecan105),walk(toothpaste1163),grab(toothpaste1163),walk(bathroom11),walk(bathroomcounter50),put(toothpaste1163,bathroomcounter50)]",
